Date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA
2015-01-02,24.214893341064453,39.76768112182617,0.48298537731170654,26.26045799255371,15.425999641418457,77.83915710449219,14.620667457580566
2015-01-05,23.53272247314453,39.401981353759766,0.4748275876045227,25.76009178161621,15.10949993133545,76.5889663696289,14.005999565124512
2015-01-06,23.534934997558594,38.82366943359375,0.4604315757751465,25.124347686767578,14.76449966430664,75.55706787109375,14.085332870483398
2015-01-07,23.864948272705078,39.316932678222656,0.4592319130897522,25.050458908081055,14.920999526977539,75.55706787109375,14.063332557678223
2015-01-08,24.78189468383789,40.47357177734375,0.4765070676803589,25.137737274169922,15.02299976348877,77.57125091552734,14.041333198547363
2015-01-09,24.8084716796875,40.133384704589844,0.47842657566070557,24.830772399902344,14.846500396728516,77.13468170166016,13.77733325958252
2015-01-12,24.197174072265625,39.63162612915039,0.47242817282676697,24.649274826049805,14.570500373840332,76.12263488769531,13.480667114257812
2015-01-13,24.41201400756836,39.427494049072266,0.4717084467411041,24.88433074951172,14.737000465393066,75.854736328125,13.616666793823242
2015-01-14,24.31899642944336,39.08732223510742,0.47362783551216125,25.089136123657227,14.66349983215332,75.6860580444336,12.845999717712402
2015-01-15,23.658966064453125,38.67909622192383,0.4702688455581665,24.993925094604492,14.34749984741211,73.47342681884766,12.791333198547363
2015-01-16,23.475133895874023,39.32544708251953,0.47890642285346985,25.31378173828125,14.536999702453613,74.59461975097656,12.871333122253418
2015-01-20,24.07978630065918,39.4530143737793,0.48034605383872986,25.287996292114258,14.472000122070312,75.64636993408203,12.795332908630371
2015-01-21,24.26361656188965,39.05329895019531,0.4870641529560089,25.80621337890625,14.862500190734863,76.14246368408203,13.104666709899902
2015-01-22,24.894855499267578,40.08234786987305,0.4954618513584137,26.644784927368164,15.515999794006348,77.04537963867188,13.441332817077637
2015-01-23,25.023311614990234,40.1248779296875,0.49690136313438416,26.875375747680664,15.619500160217285,77.22399139404297,13.419333457946777
2015-01-26,25.049884796142578,39.98031234741211,0.49474209547042847,26.61602020263672,15.482999801635742,76.89654541015625,13.770000457763672
2015-01-27,24.172807693481445,36.280799865722656,0.47098854184150696,25.845884323120117,15.337499618530273,75.18994903564453,13.732000350952148
2015-01-28,25.539371490478516,35.030601501464844,0.4633106589317322,25.411474227905273,15.195500373840332,75.64636993408203,13.291333198547363
2015-01-29,26.33449363708496,35.72797775268555,0.47458770871162415,25.451147079467773,15.58899974822998,77.39266204833984,13.680000305175781
2015-01-30,25.949113845825195,34.35874557495117,0.46067145466804504,26.657180786132812,17.726499557495117,75.31895446777344,13.573332786560059
2015-02-02,26.274694442749023,35.107154846191406,0.470748633146286,26.39187240600586,18.223499298095703,74.40608978271484,14.062666893005371
2015-02-03,26.27912712097168,35.37929916381836,0.48250535130500793,26.446420669555664,18.177499771118164,74.81291198730469,14.557332992553711
2015-02-04,26.480682373046875,35.583404541015625,0.4837051331996918,26.089372634887695,18.237499237060547,75.04110717773438,14.569999694824219
2015-02-05,26.66968536376953,36.1021842956543,0.4916229248046875,26.274341583251953,18.694499969482422,75.02127075195312,14.732666969299316
2015-02-06,26.445100784301758,36.06816482543945,0.4894634783267975,26.475187301635742,18.714000701904297,73.89014434814453,14.490667343139648
2015-02-09,26.620763778686523,36.0256462097168,0.4889835715293884,26.247068405151367,18.527999877929688,73.86038208007812,14.498666763305664
2015-02-10,27.132190704345703,36.2297477722168,0.5026599168777466,26.786605834960938,18.649999618530273,74.60454559326172,14.419333457946777
2015-02-11,27.76813507080078,36.042667388916016,0.4993007779121399,26.679492950439453,18.756999969482422,75.91426849365234,14.186667442321777
2015-02-12,28.119462966918945,36.646484375,0.5350509285926819,27.076709747314453,18.85849952697754,75.6364517211914,13.525333404541016
2015-02-13,28.25732421875,37.30984115600586,0.535290539264679,27.33209991455078,19.09149932861328,75.1502685546875,13.584667205810547
2015-02-17,28.42409324645996,37.32698440551758,0.5369699597358704,27.02712059020996,18.771499633789062,75.01134490966797,13.623332977294922
2015-02-18,28.62199592590332,37.28415298461914,0.5307319164276123,26.91008949279785,18.668500900268555,76.11270141601562,13.630666732788086
2015-02-19,28.56195640563965,37.25844955444336,0.5321714878082275,27.098533630371094,18.950000762939453,78.80159759521484,14.11400032043457
2015-02-20,28.79543113708496,37.56679916381836,0.5360105633735657,26.867935180664062,19.183000564575195,79.27787780761719,14.473999977111816
2015-02-23,29.573686599731445,37.8151969909668,0.5316916108131409,26.530723571777344,19.006999969482422,78.22611236572266,13.822667121887207
2015-02-24,29.38913345336914,37.76378631591797,0.537351667881012,26.711727142333984,18.929500579833984,77.83915710449219,13.607333183288574
2015-02-25,28.637554168701172,37.678165435791016,0.5332571268081665,27.14217185974121,19.26849937438965,78.94052124023438,13.583999633789062
2015-02-26,28.999998092651367,37.738101959228516,0.5347023010253906,27.73526954650879,19.239999771118164,79.78389739990234,13.812666893005371
2015-02-27,28.564184188842773,37.558231353759766,0.5313305258750916,27.90089988708496,19.007999420166016,78.35511016845703,13.555999755859375
2015-03-02,28.704261779785156,37.58392333984375,0.5443366169929504,28.515321731567383,19.283000946044922,79.12903594970703,13.155332565307617
2015-03-03,28.764305114746094,37.07001876831055,0.5342206358909607,28.702274322509766,19.230499267578125,78.98020935058594,13.303999900817871
2015-03-04,28.581968307495117,36.88161087036133,0.5402421951293945,28.679462432861328,19.13599967956543,80.27008819580078,13.496000289916992
2015-03-05,28.108348846435547,36.92442321777344,0.5505990982055664,28.833194732666016,19.39150047302246,80.57766723632812,13.375332832336426
2015-03-06,28.15058708190918,36.28202819824219,0.5431325435638428,28.41019058227539,19.004499435424805,79.38701629638672,12.925333023071289
2015-03-09,28.270666122436523,36.70172119140625,0.5445774793624878,28.469696044921875,18.92799949645996,78.82146453857422,12.725333213806152
2015-03-10,27.68586540222168,35.999385833740234,0.553970992565155,27.76303482055664,18.475500106811523,76.94617462158203,12.687999725341797
2015-03-11,27.18110466003418,35.956546783447266,0.5510807037353516,27.556745529174805,18.318500518798828,76.96600341796875,12.916000366210938
2015-03-12,27.672513961791992,35.134300231933594,0.5460225939750671,27.82849884033203,18.711999893188477,78.31542205810547,12.73799991607666
2015-03-13,27.481292724609375,35.44264221191406,0.5467453002929688,27.4233455657959,18.52899932861328,77.44227600097656,12.578666687011719
2015-03-16,27.7836971282959,35.5968132019043,0.5532484650611877,27.851806640625,18.667499542236328,77.46210479736328,13.046667098999023
2015-03-17,28.248430252075195,35.71671676635742,0.5599923133850098,27.65195655822754,18.59600067138672,78.74207305908203,12.982000350952148
2015-03-18,28.56640625,36.40193176269531,0.5508397817611694,28.07595443725586,18.756999969482422,80.28001403808594,13.380666732788086
2015-03-19,28.3507137298584,36.222068786621094,0.5592698454856873,27.95247459411621,18.66200065612793,82.10566711425781,13.043333053588867
2015-03-20,27.994935989379883,36.7274169921875,0.5652911067008972,28.015947341918945,18.92449951171875,83.14751434326172,13.20533275604248
2015-03-23,28.286230087280273,36.71028518676758,0.5469861030578613,28.036775588989258,18.75550079345703,83.7726058959961,13.308667182922363
2015-03-24,28.17059898376465,36.744564056396484,0.5395194888114929,28.64029312133789,18.704500198364258,84.64574432373047,13.447999954223633
2015-03-25,27.434593200683594,35.511165618896484,0.5067631006240845,28.11760902404785,18.54800033569336,82.27434539794922,12.953332901000977
2015-03-26,27.62582778930664,35.29703903198242,0.505077064037323,27.95098304748535,18.36750030517578,82.3636474609375,12.694000244140625
2015-03-27,27.40568733215332,35.09147262573242,0.5149520635604858,27.648984909057617,18.527999877929688,82.65140533447266,12.333333015441895
2015-03-30,28.099449157714844,35.082908630371094,0.5171200037002563,27.827011108398438,18.72949981689453,82.55216217041016,12.704667091369629
2015-03-31,27.66806983947754,34.82595443725586,0.5041135549545288,27.507648468017578,18.604999542236328,81.5798110961914,12.584667205810547
2015-04-01,27.62804412841797,34.87734603881836,0.5060403347015381,27.249284744262695,18.51300048828125,81.03409576416016,12.505999565124512
2015-04-02,27.865966796875,34.50904083251953,0.5072447657585144,26.843639373779297,18.612499237060547,80.9249267578125,12.733332633972168
2015-04-06,28.317359924316406,35.5882453918457,0.5219368934631348,26.97455596923828,18.851999282836914,81.798095703125,13.539999961853027
2015-04-07,28.0194034576416,35.57112121582031,0.5265134572982788,27.019683837890625,18.720500946044922,81.67902374267578,13.550000190734863
2015-04-08,27.92823600769043,35.47690963745117,0.5303670167922974,27.217050552368164,19.059999465942383,81.63933563232422,13.844667434692383
2015-04-09,28.14169692993164,35.52828598022461,0.5426505208015442,27.1763858795166,19.177000045776367,81.53019714355469,14.005999565124512
2015-04-10,28.261768341064453,35.733856201171875,0.5481902360916138,27.202173233032227,19.13249969482422,81.40121459960938,14.0600004196167
2015-04-13,28.206174850463867,35.768123626708984,0.5431325435638428,27.207134246826172,19.118000030517578,82.3636474609375,13.985333442687988
2015-04-14,28.083887100219727,35.67390060424805,0.5385559797286987,26.76776695251465,19.25550079345703,82.86967468261719,13.830666542053223
2015-04-15,28.190624237060547,36.19638442993164,0.5450592637062073,26.83024787902832,19.172500610351562,82.06599426269531,13.85533332824707
2015-04-16,28.054977416992188,36.11072540283203,0.5416872501373291,26.95323371887207,19.302000045776367,81.6690902709961,13.779999732971191
2015-04-17,27.73922348022461,35.6482048034668,0.5347023010253906,26.418651580810547,18.777999877929688,80.15101623535156,13.78600025177002
2015-04-20,28.372943878173828,36.75311279296875,0.5320528745651245,27.003318786621094,19.475500106811523,82.44302368164062,13.684666633605957
2015-04-21,28.219520568847656,36.52184295654297,0.5313305258750916,26.923477172851562,19.55900001525879,82.96890258789062,13.96066665649414
2015-04-22,28.59975814819336,36.821632385253906,0.537351667881012,27.233909606933594,19.489999771118164,83.97103881835938,14.629332542419434
2015-04-23,28.833236694335938,37.121402740478516,0.5351840257644653,27.644515991210938,19.499500274658203,81.76834106445312,14.573332786560059
2015-04-24,28.968875885009766,41.001434326171875,0.5306079387664795,28.447879791259766,22.2549991607666,80.89517211914062,14.562000274658203
2015-04-27,29.495864868164062,41.13846969604492,0.5347023010253906,28.0739688873291,21.92799949645996,81.27223205566406,15.436667442321777
2015-04-28,29.0311336517334,42.10633850097656,0.537351667881012,27.9871826171875,21.465499877929688,80.05178833007812,15.36533260345459
2015-04-29,28.60420036315918,42.02069091796875,0.5332571268081665,27.839406967163086,21.4685001373291,79.84342956542969,15.49666690826416
