Price,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.214893341064453,24.68222562747745,23.776353422468404,24.671150729967486,212818400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,23.532724380493164,24.064287433869833,23.34667824119713,23.984552891373717,257142000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,23.53493881225586,23.79407522071628,23.17391806682534,23.596954189686496,263188400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,23.864953994750977,23.964621340157734,23.632394602411782,23.743136848327097,160423600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,24.781890869140625,24.83947728974081,24.075355049974863,24.192743208450004,237458000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,24.808473587036133,25.083113830448443,24.40980090321807,24.954652444574595,214798000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,24.19717788696289,24.94579477298944,24.097510553276788,24.939150509382685,198603200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,24.412015914916992,24.983446191297645,24.121871831314078,24.680011891872518,268367600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,24.31899642944336,24.47181957063888,24.031065931307936,24.150667752542997,195826400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,23.658967971801758,24.376577089070306,23.623531339856147,24.363288563314725,240056000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,23.47513771057129,23.827298884688386,23.300164782396326,23.705481754379125,314053200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,24.079790115356445,24.135161228870494,23.58809435698492,23.884882714319932,199599600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,24.26361846923828,24.59805872103091,23.98011699709323,24.13072646769229,194303600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,24.894851684570312,24.91035552795961,24.301273310849446,24.420875112620685,215185600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,25.023311614990234,25.19385388237781,24.702158177998953,24.872702135178624,185859200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,25.04988670349121,25.328957536245927,24.983442393649014,25.191636592238247,222460000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,24.172815322875977,24.912574343678344,24.148451895587154,24.899284126198346,382274800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,25.539371490478516,26.16174394651588,25.539371490478516,26.05321534893324,585908400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,26.334503173828125,26.398733871324843,25.59474418351453,25.76307284971998,337745600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,25.949111938476562,26.57812679485473,25.880450628531435,26.22375210888169,334982000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,26.27469825744629,26.394300056676855,25.709913954726144,26.146238567717603,250956400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,26.27912139892578,26.37657337474587,26.04877744643813,26.24589840475889,207662800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,26.48067855834961,26.691089785876024,26.20382301407181,26.24590559753552,280598800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,26.44510269165039,26.738615912814105,26.338369840108527,26.68747269934462,174826400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,26.620765686035156,26.64744762610821,26.33392295502217,26.36060659155632,155559200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,27.1321964263916,27.161104130980192,26.71861097892877,26.720833343542093,248034000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,27.768129348754883,27.777023892483754,27.23891672034267,27.298952769936612,294247200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,28.119461059570312,28.346267722765855,27.921562092612835,28.030517303345807,297898000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,28.257320404052734,28.301791428327864,27.93934766074915,28.301791428327864,217088800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,28.424083709716797,28.657560782478377,28.221736687128693,28.348480947537993,252609600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,28.621990203857422,28.635331172766996,28.339593921224484,28.379618524414152,179566800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,28.561954498291016,28.690922861865086,28.535272558559186,28.568624983223973,149449600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,28.795433044433594,28.795433044433594,28.47301381634293,28.599756429130103,195793600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,29.573686599731445,29.573686599731445,28.831009870851535,28.91105908307897,283896400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,29.389137268066406,29.707111846758544,29.16677865661738,29.56035434890063,276912400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,28.637563705444336,29.26239424559454,28.495254331673475,29.253498001214613,298846800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,29.000001907348633,29.10006257703535,28.152816368187036,28.637556382320206,365150000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,28.564178466796875,29.0333551042649,28.515259318403285,28.906609112630072,248059200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,28.70426368713379,28.968870897881935,28.528601929913908,28.739841868545096,192386800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
