timestamp,model,features,epoch,train_loss,test_loss,directional_accuracy
2026-05-03 18:37:36,lstm,returns+indicators,1,0.0166422614051649,0.0237098009325563,0.4944360902255639
2026-05-03 18:37:47,lstm,returns+indicators,2,0.0138498576668401,0.023204791949441,0.5621052631578948
2026-05-03 18:37:59,lstm,returns+indicators,3,0.0126015576611583,0.022438069153577,0.6216541353383459
2026-05-03 18:38:10,lstm,returns+indicators,4,0.0118232363679756,0.0211837457182506,0.6592481203007519
2026-05-03 18:38:22,lstm,returns+indicators,5,0.0110643723048269,0.0217317723669111,0.6066165413533835
2026-05-03 18:38:33,lstm,returns+indicators,6,0.0097712144255638,0.0257769114958743,0.606015037593985
2026-05-03 18:38:45,lstm,returns+indicators,7,0.0100485351402312,0.0339580475352704,0.5281203007518797
2026-05-03 18:38:55,lstm,returns+indicators,8,0.0099854545357326,0.0269158381968736,0.5759398496240602
2026-05-03 18:39:06,lstm,returns+indicators,9,0.0091077805884803,0.0262705394687751,0.6300751879699248
2026-05-03 18:39:18,lstm,returns+indicators,10,0.0085746282323574,0.0265120587622125,0.6637593984962405
2026-05-03 18:39:30,lstm,returns+indicators,11,0.0080655156091476,0.0263339688380559,0.6237593984962406
2026-05-03 18:39:42,lstm,returns+indicators,12,0.0076719196202854,0.0293048015174766,0.6168421052631579
2026-05-03 18:39:54,lstm,returns+indicators,13,0.008138003363274,0.0182101909071207,0.6631578947368421
2026-05-03 18:40:06,lstm,returns+indicators,14,0.0083217157671848,0.0262783900213738,0.5852631578947368
2026-05-03 18:40:18,lstm,returns+indicators,15,0.0075929469972228,0.0240887322152654,0.6384962406015038
2026-05-03 18:40:29,lstm,returns+indicators,16,0.0070803983757893,0.0276301193361481,0.6009022556390977
2026-05-03 18:40:41,lstm,returns+indicators,17,0.0068776085507124,0.0252437102608382,0.6195488721804512
2026-05-03 18:40:53,lstm,returns+indicators,18,0.0067353258219858,0.0357810639465848,0.6490225563909774
2026-05-03 18:41:04,lstm,returns+indicators,19,0.0066765348349387,0.0235994051831463,0.6586466165413534
2026-05-03 18:41:16,lstm,returns+indicators,20,0.005963228821444,0.0280422094588478,0.6529323308270677
2026-05-03 21:33:54,lstm,results,1,0.0171317896650483,0.0202718751815458,0.6279699248120301
2026-05-03 21:34:00,lstm,results,2,0.013656606998605,0.0175215501648684,0.6815037593984963
2026-05-03 21:34:06,lstm,results,3,0.0125870623004933,0.0203890123715003,0.5765413533834587
2026-05-03 21:34:12,lstm,results,4,0.0117299022851511,0.0219576733497281,0.5413533834586466
2026-05-03 21:34:18,lstm,results,5,0.0110644545483713,0.0246552180188397,0.5735338345864661
2026-05-03 21:34:24,lstm,results,6,0.0103994695624957,0.0272504377489288,0.6342857142857142
2026-05-03 21:34:30,lstm,results,7,0.0099084038753062,0.0204618325767417,0.5903759398496241
2026-05-03 21:34:36,lstm,results,8,0.0099609291724239,0.0214869325670103,0.5627067669172933
2026-05-03 21:34:42,lstm,results,9,0.010161774395965,0.0226203391638894,0.5786466165413534
2026-05-03 21:34:48,lstm,results,10,0.0087941944521541,0.0309983911613623,0.6418045112781955
2026-05-03 21:34:54,lstm,results,11,0.0083797213931878,0.0263036410634716,0.6300751879699248
2026-05-03 21:35:00,lstm,results,12,0.0086247599994142,0.0276310411592324,0.5783458646616542
2026-05-03 21:35:06,lstm,results,13,0.0080276916657264,0.0379093758141001,0.6129323308270677
2026-05-03 21:35:12,lstm,results,14,0.0083282215675959,0.0342909316221873,0.555187969924812
2026-05-03 21:35:18,lstm,results,15,0.0076119805375734,0.0258391705031196,0.5082706766917293
2026-05-03 21:35:23,lstm,results,16,0.0072315891273319,0.0323906171446045,0.5178947368421053
2026-05-03 21:35:29,lstm,results,17,0.0061440627245853,0.0329385001212358,0.5016541353383459
2026-05-03 21:35:35,lstm,results,18,0.0074073342451204,0.0273471787571907,0.4863157894736842
2026-05-03 21:35:41,lstm,results,19,0.0065477914409711,0.0349752206355333,0.4490225563909774
2026-05-03 21:35:47,lstm,results,20,0.0064086322672665,0.0332203269625703,0.4436090225563909
2026-05-04 17:29:12,transformer,results+indicators,1,0.1761576537663738,0.0362872418016195,0.4033082706766917
2026-05-04 17:29:25,transformer,results+indicators,2,0.0571856509894132,0.029505042421321,0.4971428571428571
2026-05-04 17:29:38,transformer,results+indicators,3,0.0428466368777056,0.0375669573744138,0.3377443609022556
2026-05-04 17:29:51,transformer,results+indicators,4,0.0353622160541514,0.026417915088435,0.4381954887218045
2026-05-04 17:30:05,transformer,results+indicators,5,0.0296440538329382,0.0234299738580981,0.553984962406015
2026-05-04 17:30:18,transformer,results+indicators,6,0.0258759140657881,0.0251744220654169,0.4243609022556391
2026-05-04 17:30:31,transformer,results+indicators,7,0.0243305659852921,0.0231765381991863,0.5389473684210526
2026-05-04 17:30:46,transformer,results+indicators,8,0.022174577275291,0.0236231256276369,0.4348872180451127
2026-05-04 17:31:00,transformer,results+indicators,9,0.0210153185607244,0.0235356617098053,0.5094736842105263
2026-05-04 17:31:14,transformer,results+indicators,10,0.0200266247459997,0.0203747056114176,0.6036090225563909
2026-05-04 17:31:28,transformer,results+indicators,11,0.0193134647017965,0.0267303982128699,0.4454135338345865
2026-05-04 17:31:41,transformer,results+indicators,12,0.0180736702556411,0.0232017962572475,0.5822556390977444
2026-05-04 17:31:54,transformer,results+indicators,13,0.0180329840009411,0.0239791119471192,0.5515789473684211
2026-05-04 17:32:07,transformer,results+indicators,14,0.0173687435686588,0.0235957257449626,0.5190977443609023
2026-05-04 17:32:20,transformer,results+indicators,15,0.016879910401379,0.0283099128554264,0.5467669172932331
2026-05-04 17:32:33,transformer,results+indicators,16,0.016403697275867,0.0257468021164337,0.597593984962406
2026-05-04 17:32:46,transformer,results+indicators,17,0.0156420934014022,0.0245916773254672,0.5455639097744361
2026-05-04 17:32:59,transformer,results+indicators,18,0.0152112909127026,0.0287903477748235,0.6703759398496241
2026-05-04 17:33:12,transformer,results+indicators,19,0.0152406414194653,0.0305269238228599,0.6601503759398496
2026-05-04 17:33:25,transformer,results+indicators,20,0.0146948258392512,0.0315421084562937,0.6051127819548873
2026-05-04 18:23:02,transformer,results+indicators,1,0.2943588322649399,0.1148917039235433,0.3169924914836883
2026-05-04 18:23:15,transformer,results+indicators,2,0.0771866311008731,0.102816204726696,0.3311278223991394
2026-05-04 18:23:28,transformer,results+indicators,3,0.0552545360910395,0.0559878505766391,0.3410526216030121
2026-05-04 18:23:41,transformer,results+indicators,4,0.043318130634725,0.0720168250302473,0.31278195977211
2026-05-04 18:23:54,transformer,results+indicators,5,0.0341672983020544,0.0583800929288069,0.3320300877094269
2026-05-04 18:24:07,transformer,results+indicators,6,0.0295486743561923,0.0423942476511001,0.3326315879821777
2026-05-04 18:24:20,transformer,results+indicators,7,0.0249505970006187,0.0481025146941343,0.3278195559978485
2026-05-04 18:24:34,transformer,results+indicators,8,0.0226580997463315,0.0426457059880097,0.3193984925746918
2026-05-04 18:24:47,transformer,results+indicators,9,0.0205310985445976,0.042656699133416,0.3593984842300415
2026-05-04 18:25:01,transformer,results+indicators,10,0.0184501719350616,0.0520630590617656,0.3362405896186828
2026-05-04 18:25:14,transformer,results+indicators,11,0.017370340693742,0.0523232349505027,0.3278195559978485
2026-05-04 18:25:27,transformer,results+indicators,12,0.0162025248787055,0.0488589273144801,0.3203007578849792
2026-05-04 18:25:40,transformer,results+indicators,13,0.0153576777937511,0.0433984464034438,0.3587969839572906
2026-05-04 18:25:53,transformer,results+indicators,14,0.0139632358370969,0.0465324740856885,0.3494736850261688
2026-05-04 18:26:06,transformer,results+indicators,15,0.0132838421035557,0.0454919243852297,0.3639097809791565
2026-05-04 18:26:19,transformer,results+indicators,16,0.0127190081402659,0.0589097339659929,0.326917290687561
2026-05-04 18:26:33,transformer,results+indicators,17,0.0120647003874182,0.0468797408044338,0.3422556519508362
2026-05-04 18:26:46,transformer,results+indicators,18,0.0112022027683754,0.0549466253568728,0.3254135251045227
2026-05-04 18:26:59,transformer,results+indicators,19,0.0108488444549342,0.0543902566035588,0.3413533866405487
2026-05-04 18:27:13,transformer,results+indicators,20,0.0107957107325394,0.0494071880976359,0.3479699194431305
2026-05-04 19:37:44,transformer,results,1,0.2390257296462853,0.0486054049804806,0.4803007543087005
2026-05-04 19:37:58,transformer,results,2,0.0719010135158896,0.0575070572396119,0.4303759336471557
2026-05-04 19:38:11,transformer,results,3,0.0516765282178918,0.0403509670247634,0.446616530418396
2026-05-04 19:38:24,transformer,results,4,0.0392660559775928,0.0554333756367365,0.4637593924999237
2026-05-04 19:38:38,transformer,results,5,0.0336339743807911,0.0558230793724457,0.4421052634716034
2026-05-04 19:38:51,transformer,results,6,0.0282376545791824,0.0383716480185588,0.4433082640171051
2026-05-04 19:39:05,transformer,results,7,0.0250213479157537,0.0505479914446671,0.4141353368759155
2026-05-04 19:39:18,transformer,results,8,0.0214541087237497,0.0455482196683685,0.3888721764087677
2026-05-04 19:39:31,transformer,results,9,0.0199927976510177,0.0692755180100599,0.3317293226718902
2026-05-04 19:39:45,transformer,results,10,0.0182943323937555,0.0638261682043472,0.4162406027317047
2026-05-04 19:39:58,transformer,results,11,0.0174051727789143,0.042729049672683,0.376240611076355
2026-05-04 19:40:12,transformer,results,12,0.0162725607398897,0.0649567559361457,0.3509774506092071
2026-05-04 19:40:26,transformer,results,13,0.0151995483630647,0.0658563572913408,0.3587969839572906
2026-05-04 19:40:39,transformer,results,14,0.0147593626286834,0.0609431357433398,0.3497744500637054
2026-05-04 19:40:53,transformer,results,15,0.013799454877153,0.0774089271823565,0.3160902261734009
2026-05-04 19:41:06,transformer,results,16,0.0125706302002072,0.0711266737431287,0.335639089345932
2026-05-04 19:41:19,transformer,results,17,0.0125024065064887,0.064362110197544,0.3699248135089874
2026-05-04 19:41:32,transformer,results,18,0.0110082136311878,0.0613835784296194,0.3690225481986999
2026-05-04 19:41:46,transformer,results,19,0.0102390914612139,0.0630248796194791,0.3723308145999908
2026-05-04 19:41:59,transformer,results,20,0.010006402324264248,0.06047773696482182,0.3672180473804474
